respondent_id,age_group,gender,college_year,monthly_budget_range,avg_monthly_budget,income_source,primary_upi_app,perceives_upi_risky,upi_usage_reason,weekly_tx_range,avg_weekly_tx,pct_unplanned,pct_unplanned_avg,balance_check_habit,tracks_expenses,ran_out_of_money,flag_morning,flag_afternoon,flag_evening,flag_latenight,flag_postmidnight,trigger_boredom,trigger_fomo,trigger_latenight,trigger_cashback,trigger_stress_relief,trigger_scarcity_notif,trigger_cart_abandon,trigger_exam_season,regret_frequency,cat_food_delivery,cat_grocery,cat_online_shopping,cat_subscriptions,cat_gaming,cat_gadgets,cat_offline_cafe,cat_other,post_regret_action,hidden_purchase,regret_intensity,high_regret,regret_description,impulse_composite_score,cluster,cluster_name
1000,22-25,Male,Ug,Rs6000+,18000.0,100% Parents Money,PhonePe,1,Comfort,15+,36.0,20-40%,30,0,0,3,0,0,0,1,0,1,1,1,2,1,1,1,3,1,0,0,0,0,1,0,0,0,Accept it or move on,0,3,0,Marrow course ,1.375,2.0,Controlled Spenders
1001,18-21,Male,Ug,Rs1000 - Rs3000,3500.0,100% Parents Money,PhonePe,1,Comfort,15+,40.0,20-40%,30,3,0,2,0,0,1,0,0,1,1,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,Accept it or move on,0,3,0,,1.25,0.0,Routine Evening Spenders
1002,18-21,Male,Ug,Rs1000 - Rs3000,2000.0,100% Parents Money,PhonePe,1,Comfort,15+,21.0,40-60%,50,2,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,Accept it or move on,1,1,0,,1.0,2.0,Controlled Spenders
1003,18-21,Male,Ug,Rs3000 - Rs6000,4500.0,100% Parents Money,Google Pay (GPay),1,Comfort,15+,18.0,60-80%,70,2,0,1,0,0,0,1,1,1,2,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,Accept it or move on,1,1,0,,1.5,1.0,High Impulsive Spenders
1004,Under 18,Female,Ug,Rs3000 - Rs6000,4500.0,100% Parents Money,PhonePe,1,Comfort,8-15,12.0,20-40%,30,2,1,2,0,0,1,0,0,1,2,1,1,3,1,1,1,0,0,0,0,0,0,0,1,0,Accept it or move on,0,2,0,,1.375,0.0,Routine Evening Spenders
1005,Under 18,Male,Ug,Rs1000 - Rs3000,2500.0,100% Parents Money,Google Pay (GPay),1,Comfort,4-7,5.0,20-40%,30,2,1,2,1,0,0,1,0,1,2,1,1,2,1,1,1,2,0,0,0,0,0,0,1,0,Accept it or move on,0,3,0,,1.25,2.0,Controlled Spenders
1006,18-21,Female,Ug,< Rs1000,750.0,100% Parents Money,PhonePe,1,Convenience,1-3,3.0,20-40%,30,2,0,0,0,0,1,0,0,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,1,1,Accept it or move on,0,1,0,,1.125,0.0,Routine Evening Spenders
1007,18-21,Male,Ug,Rs1000 - Rs3000,2500.0,100% Parents Money,Google Pay (GPay),1,Safety,4-7,7.0,40-60%,50,2,1,1,0,0,0,1,0,1,1,3,1,1,1,1,3,1,0,1,0,0,0,0,0,0,Accept it or move on,0,3,0,,1.5,2.0,Controlled Spenders
1008,18-21,Male,Ug,< Rs1000,1200.0,100% Parents Money,Paytm,0,Safety,4-7,8.0,20-40%,30,2,2,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Accept it or move on,2,2,0,,1.0,0.0,Routine Evening Spenders
1009,18-21,Female,Ug,Rs3000 - Rs6000,4500.0,100% Parents Money,Bhim UPI,1,Comfort,8-15,12.0,20-40%,30,1,1,1,0,0,1,1,0,1,1,1,2,2,1,1,1,1,0,1,0,0,0,0,1,0,Accept it or move on,2,7,1,,1.25,0.0,Routine Evening Spenders
1010,18-21,Male,Ug,Rs3000 - Rs6000,4500.0,100% Parents Money,PhonePe,1,Comfort,15+,18.0,40-60%,50,2,1,2,0,0,1,0,0,1,2,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,See my expense and feel worse,2,2,0,,1.125,0.0,Routine Evening Spenders
1011,18-21,Male,Ug,Rs3000 - Rs6000,3500.0,100% Parents Money,PhonePe,1,Comfort,4-7,7.0,60-80%,70,0,0,0,0,0,1,0,0,2,2,2,1,2,2,2,2,0,1,0,0,1,0,0,0,0,Return it,0,8,1,,1.875,0.0,Routine Evening Spenders
2000,25+ (Senior citizen of college life),Male,Pg,< Rs1000,750.0,Mix of parents + I earn something on the side,Google Pay (GPay),1,Merchant preference,4-7,5.0,<20%,10,3,2,3,1,1,1,1,1,3,3,3,3,3,3,3,3,0,1,1,1,1,1,1,1,0,Accept it or move on,2,10,1,,3.0,1.0,High Impulsive Spenders
2001,22-25,Male,Pg,Rs1000 - Rs3000,2000.0,100% Parents Money,Google Pay (GPay),1,Convenience,4-7,5.0,<20%,10,1,1,1,0,0,1,0,0,2,2,2,2,2,2,2,2,0,0,0,1,0,0,0,0,0,Accept it or move on,2,3,0,,2.0,0.0,Routine Evening Spenders
2002,25+ (Senior citizen of college life),Female,Pg,Rs6000+,25000.0,Mix of parents + I earn something on the side,Google Pay (GPay),0,Comfort,15+,30.0,<20%,10,3,2,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,Accept it or move on,0,1,0,,1.0,2.0,Controlled Spenders
2003,18-21,Female,Ug,Rs1000 - Rs3000,2000.0,100% Parents Money,Google Pay (GPay),1,Merchant preference,1-3,1.0,40-60%,50,2,0,1,1,1,0,0,0,2,3,3,3,3,3,2,2,1,0,1,1,0,0,1,0,0,Accept it or move on,0,6,1,,2.625,2.0,Controlled Spenders
2004,22-25,Female,Pg,Rs1000 - Rs3000,2000.0,100% Parents Money,Google Pay (GPay),1,Comfort,8-15,12.0,<20%,10,2,1,2,0,1,1,0,0,2,3,1,2,1,2,1,1,2,0,0,0,0,0,0,0,1,See my expense and feel worse,2,7,1,,1.625,0.0,Routine Evening Spenders
2005,18-21,Male,Ug,Rs3000 - Rs6000,4500.0,100% Parents Money,Bhim UPI,1,Comfort,8-15,12.0,40-60%,50,2,1,2,0,0,1,1,0,1,2,2,4,4,2,1,1,1,0,0,0,1,0,0,1,0,Accept it or move on,2,3,0,,2.125,0.0,Routine Evening Spenders
