age_group,gender,college_year,monthly_budget_range,monthly_budget_exact,income_source,primary_upi_app,weekly_tx_range,weekly_tx_count,pct_unplanned,impulse_time,balance_check_habit,trigger_boredom,trigger_fomo,trigger_latenight,trigger_cashback,trigger_stress_relief,trigger_scarcity_notif,trigger_cart_abandon,trigger_exam_season,regret_frequency,regret_categories,regret_other_text,post_regret_action,regret_intensity,hidden_purchase,tracks_expenses,ran_out_of_money,perceives_upi_risky,upi_usage_reason,regret_description,respondent_id
22-25,Male,Ug,₹6000+ (Force fully leaving in the college hostel),18000.0,100% Parents Money,PhonePe,20+ (You are the reason companies are profitable ),36.0,20-40% (Understandable),Late Night (10PM - 2AM),Never (Pls check it for yourself),1,1,1,2,1,1,1,3,1-2 times,Gaming;Courses,,Accept it or move on (aaj tak nahi huva),3,No (we don't believe),"No, I need some surprise in life","Yes, regularly",Yes,I feel comfortable using UPI,Marrow course ,1000
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),3500.0,100% Parents Money,PhonePe,20+ (You are the reason companies are profitable ),40.0,20-40% (Understandable),Evening,Always (I am disciplined and boring),1,1,3,1,1,1,1,1,Never,Food delivery (Swiggy / Zomato),,Accept it or move on (aaj tak nahi huva),3,No (we don't believe),"No, I need some surprise in life","Yes, Occasionally",Yes,I feel comfortable using UPI,,1001
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2000.0,100% Parents Money,PhonePe,20+ (You are the reason companies are profitable ),21.0,40-60% (Mostly it on the food),Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),1,1,1,1,1,1,1,1,Never,Blinkit / Instamart,,Accept it or move on (aaj tak nahi huva),1,Maybe (don't want to accept it),"I try, but give up by one or two week (Relatable)",Rarely,Yes,I feel comfortable using UPI,,1002
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),,100% Parents Money,Google Pay (GPay),15-20 (Loves eating too much),,60-80% (Probably you love everything you see online),Late Night (10PM - 2AM);Post Midnight,Sometimes (When I remember I'm poor),1,2,1,1,1,1,1,4,1-2 times,Food delivery (Swiggy / Zomato),,Accept it or move on (aaj tak nahi huva),1,Maybe (don't want to accept it),"No, I need some surprise in life",Rarely,Yes,I feel comfortable using UPI,,1003
Under 18,Female,Ug,₹3000 - ₹6000 (I need to go out of this campus),,100% Parents Money,PhonePe,8-15 (The apps know your face by now),,20-40% (Understandable),Evening,Sometimes (When I remember I'm poor),1,2,1,1,3,1,1,1,Never,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),2,,"I try, but give up by one or two week (Relatable)","Yes, Occasionally",Yes,I feel comfortable using UPI,,1004
Under 18,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2500.0,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),,20-40% (Understandable),Morning;Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),1,2,1,1,2,1,1,1,3-5 times,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),3,No (we don't believe),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",Yes,I feel comfortable using UPI,,1005
18-21,Female,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),,100% Parents Money,PhonePe,1-3 (No comments),3.0,20-40% (Understandable),Evening,Sometimes (When I remember I'm poor),1,1,1,1,2,1,1,1,Never,In college cafe's and normal shops;Other,,Accept it or move on (aaj tak nahi huva),1,No (we don't believe),"No, I need some surprise in life",Never (teach us your ways),Yes,"Because I always have my phone, but no cash.""",,1006
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2500.0,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),7.0,40-60% (Mostly it on the food),Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),1,1,3,1,1,1,1,3,1-2 times,Blinkit / Instamart,,Accept it or move on (aaj tak nahi huva),3,No (we don't believe),"I try, but give up by one or two week (Relatable)",Rarely,Yes,I am afraid that I might lose cash.,,1007
18-21,Male,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),1200.0,100% Parents Money,Paytm,4-7 (Okay this is reasonable ),8.0,20-40% (Understandable),Evening,Sometimes (When I remember I'm poor),1,1,1,1,1,1,1,1,1-2 times,"Food delivery (Swiggy / Zomato);Blinkit / Instamart;Online shopping (Myntra, Meesho, Amazon, Flipkart);Subscriptions (Netflix, Spotify, Prime);Gaming;Gadgets / Accessories",,Accept it or move on (aaj tak nahi huva),2,Yes (don't worry many of us does),Yes (I use an app or diary for it),Rarely,I never taught about this,I am afraid that I might lose cash.,,1008
18-21,Female,Ug,₹3000 - ₹6000 (I need to go out of this campus),,100% Parents Money,Bhim UPI,8-15 (The apps know your face by now),,20-40% (Understandable),Evening;Late Night (10PM - 2AM),Rarely (Assuming account is full of money),1,1,1,2,2,1,1,1,1-2 times,Blinkit / Instamart;In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),7,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)",Rarely,Yes,I feel comfortable using UPI,,1009
